,match,team_innings,batting_pos,BATTING,out/not out,R,B,M,4s,6s,SR,match_id
689,Pakistan VS England,Pakistan,14,Mohammad Wasim,c Livingstone b Jordan,4,8,12,0,0,50.00,T20I # 1879
690,Pakistan VS England,Pakistan,16,Shaheen Shah Afridi,not out,5,3,8,1,0,166.66,T20I # 1879
691,Pakistan VS England,Pakistan,17,Haris Rauf,not out,1,1,3,0,0,100.00,T20I # 1879
692,Pakistan VS England,England,0,Jos Buttler (c)†,c †Mohammad Rizwan b Haris Rauf,26,17,33,3,1,152.94,T20I # 1879
693,Pakistan VS England,England,2,Alex Hales,b Shaheen Shah Afridi,1,2,6,0,0,50.00,T20I # 1879
694,Pakistan VS England,England,4,Phil Salt,c Iftikhar Ahmed b Haris Rauf,10,9,16,2,0,111.11,T20I # 1879
695,Pakistan VS England,England,6,Ben Stokes,not out,52,49,81,5,1,106.12,T20I # 1879
696,Pakistan VS England,England,7,Harry Brook,c Shaheen Shah Afridi b Shadab Khan,20,23,36,1,0,86.95,T20I # 1879
697,Pakistan VS England,England,9,Moeen Ali,b Mohammad Wasim,19,13,30,3,0,146.15,T20I # 1879
698,Pakistan VS England,England,11,Liam Livingstone,not out,1,1,3,0,0,100.00,T20I # 1879
